"","å1","å3","å4","å5","score"
"267",2,2,4,3,1.0880299029103
"268",2,2,4,2,0.842098903629799
"269",3,2,3,2,0.842098903629799
"270",5,5,5,5,4
"271",3,2,3,5,1.6110732018873
"272",2,3,3,1,0.595383926668002
"273",1,1,1,1,-0.988670454489805
"275",4,5,4,2,2.23010784453195
"276",2,2,1,2,0.064473261397189
"277",2,2,3,4,1.0880299029103
"279",3,3,4,4,1.90488955117537
"280",2,3,4,2,1.0880299029103
"281",4,3,1,4,1.34149926246329
"282",1,2,2,1,-0.240050442735967
"283",3,2,3,4,1.34149926246329
"284",0,0,1,2,-1.45766343560472
"285",3,3,3,3,1.34149926246329
"287",0,1,1,2,-0.988670454489805
"288",3,2,2,1,0.339315465917388
"289",4,3,3,2,1.34149926246329
"290",4,2,2,3,1.0880299029103
"291",2,1,1,0,-0.988670454489805
"292",4,4,4,2,1.90488955117537
"293",3,3,5,1,1.34149926246328
"294",5,5,3,3,2.59262162166475
"295",4,2,4,4,1.90488955117537
"296",1,1,3,3,0.339315465917388
"297",3,4,3,2,1.34149926246329
"298",4,4,3,4,2.23010784453195
"299",4,4,4,3,2.23010784453195
"300",4,3,2,2,1.0880299029103
"301",4,4,4,4,2.59262162166474
"302",4,3,3,0,0.842098903629799
"303",5,4,5,4,3.49100234712801
"304",1,2,1,2,-0.240050442735967
"305",5,4,4,5,3.49100234712802
"306",3,2,3,3,1.0880299029103
"307",5,5,5,4,4
"309",3,3,2,5,1.6110732018873
"310",3,4,4,4,2.23010784453195
"311",5,4,3,3,2.23010784453195
"312",4,3,3,3,1.6110732018873
"314",3,2,2,3,0.842098903629798
"315",5,5,5,5,4
"317",5,5,4,3,3.00299162461452
"318",3,2,4,4,1.6110732018873
"319",3,1,1,3,0.339315465917388
"320",0,1,3,0,-0.988670454489805
"321",5,4,2,4,2.23010784453195
"322",1,3,1,4,0.595383926668002
"323",4,4,4,4,2.59262162166474
"324",4,3,5,5,3.00299162461452
"326",4,4,3,4,2.23010784453195
"327",5,5,4,4,3.49100234712801
"328",3,2,0,0,-0.586793740364119
"329",4,4,4,4,2.59262162166474
"330",3,3,3,2,1.0880299029103
"331",2,3,4,4,1.6110732018873
"332",4,4,4,5,3.00299162461452
"333",0,1,1,0,-2.01436788263421
"334",2,4,5,3,1.90488955117537
"335",1,2,1,2,-0.240050442735967
"336",5,5,5,3,3.49100234712801
"337",4,3,4,3,1.90488955117537
"338",4,3,3,4,1.90488955117537
"339",4,3,3,3,1.6110732018873
"342",3,2,3,3,1.0880299029103
"343",5,2,3,5,2.23010784453195
"344",4,3,5,4,2.59262162166474
"345",1,1,0,1,-1.45766343560472
"346",3,2,4,3,1.34149926246329
"347",2,2,2,3,0.595383926668002
"348",0,1,1,2,-0.988670454489805
"349",2,4,4,4,1.90488955117537
"350",4,2,3,3,1.34149926246329
"352",3,3,2,3,1.0880299029103
"353",3,3,5,4,2.23010784453195
"354",4,3,4,4,2.23010784453195
"355",4,3,4,4,2.23010784453195
"356",4,4,4,5,3.00299162461452
"357",3,3,4,3,1.6110732018873
"359",3,4,3,4,1.90488955117537
"360",1,2,1,1,-0.586793740364119
"361",1,2,1,3,0.064473261397189
"362",5,5,5,5,4
"363",3,4,5,4,2.59262162166475
"366",3,1,1,1,-0.240050442735967
"367",3,4,3,4,1.90488955117537
"368",1,1,1,2,-0.586793740364119
"369",1,1,2,2,-0.240050442735967
"370",2,1,3,3,0.595383926668002
"371",1,3,3,4,1.0880299029103
"372",3,4,3,2,1.34149926246329
"373",4,1,2,5,1.34149926246329
"374",4,4,4,4,2.59262162166474
"375",2,2,1,2,0.064473261397189
"376",3,4,2,4,1.6110732018873
"378",1,1,1,1,-0.988670454489805
"379",2,2,1,2,0.064473261397189
"380",5,4,4,3,2.59262162166474
"381",3,2,3,2,0.842098903629799
"382",4,4,4,4,2.59262162166474
"383",4,3,4,5,2.59262162166474
"384",4,4,4,4,2.59262162166474
"385",1,0,0,1,-2.01436788263421
"386",1,2,3,4,0.842098903629799
"387",3,3,4,5,2.23010784453195
"388",3,2,4,2,1.0880299029103
"389",1,1,1,3,-0.240050442735967
"390",0,1,1,1,-1.45766343560472
"391",4,3,4,3,1.90488955117537
"392",4,3,4,3,1.90488955117537
"393",2,1,3,2,0.339315465917387
"395",4,1,4,5,1.90488955117537
"397",4,4,5,5,3.49100234712801
"398",4,5,5,5,4
"399",4,5,4,1,1.90488955117537
"400",1,2,5,3,1.0880299029103
"401",4,2,2,3,1.0880299029103
"402",5,5,5,5,4
"403",4,3,4,3,1.90488955117537
"404",4,3,3,4,1.90488955117537
"406",2,3,1,3,0.595383926668002
"407",2,1,0,0,-1.45766343560472
"408",5,4,5,4,3.49100234712801
"409",2,3,2,4,1.0880299029103
"410",4,2,3,3,1.34149926246329
"411",2,2,2,4,0.842098903629798
"412",4,4,4,4,2.59262162166474
"413",2,2,2,1,0.064473261397189
"414",4,3,4,3,1.90488955117537
"415",3,2,4,2,1.0880299029103
"416",2,2,1,1,-0.240050442735967
"417",5,5,4,3,3.00299162461452
"419",1,1,2,3,0.064473261397189
"420",0,0,5,0,-0.586793740364119
"421",2,1,5,5,1.6110732018873
"422",5,4,5,4,3.49100234712801
"424",5,4,2,4,2.23010784453195
"425",1,1,2,2,-0.240050442735967
"426",4,4,4,4,2.59262162166474
"427",3,1,4,3,1.0880299029103
"429",3,3,2,1,0.595383926668002
"430",2,3,3,4,1.34149926246329
