"","ls1","ls2","ls3","ls5","ls6","score"
"63",1,1,1,0,2,-1.04238965598459
"64",5,5,5,5,5,4
"65",3,3,3,3,3,1.33437633290088
"66",2,2,1,1,3,0.0189852880942778
"67",4,4,2,5,5,2.67976123962362
"68",5,4,3,4,4,2.67976123962362
"69",5,4,4,4,2,2.35948204772237
"70",3,3,3,4,4,1.81101700971344
"71",5,5,5,5,5,4
"72",4,4,3,4,4,2.35948204772237
"74",1,2,1,3,3,0.243423399716078
"75",1,2,1,0,3,-0.466337695083066
"76",0,0,1,0,0,-2.94325408121926
"77",2,2,1,3,1,0.0189852880942776
"78",1,2,2,0,3,-0.215850931633363
"79",4,4,4,3,4,2.35948204772237
"81",3,3,1,2,2,0.461670780369361
"83",3,4,3,4,4,2.07308010156175
"84",3,2,2,3,2,0.677085778568236
"85",2,3,2,2,1,0.243423399716078
"86",1,1,1,4,1,-0.215850931633362
"88",4,4,4,3,5,2.67976123962362
"89",2,2,2,3,3,0.677085778568236
"90",3,4,3,5,5,2.67976123962362
"91",3,3,3,3,4,1.56649058581839
"93",4,4,4,4,4,2.67976123962362
"94",2,1,1,2,1,-0.466337695083066
"95",2,3,3,4,3,1.33437633290088
"97",1,3,2,4,3,0.892578134450525
"98",3,4,4,3,5,2.35948204772237
"99",3,4,2,4,4,1.81101700971344
"100",4,4,5,5,5,4
"101",1,0,0,2,0,-1.78932801183057
"102",1,1,2,4,2,0.243423399716078
"103",4,4,3,4,5,2.67976123962362
"105",2,2,2,2,2,0.243423399716078
"106",4,4,4,4,4,2.67976123962362
"108",3,4,3,4,4,2.07308010156175
"109",2,1,1,1,2,-0.466337695083066
"110",1,1,1,0,1,-1.38718385887497
"111",4,2,3,1,4,1.11077610671079
"113",4,3,4,5,4,2.67976123962362
"114",4,3,1,5,5,2.07308010156175
"116",5,5,5,5,5,4
"117",3,3,4,4,3,1.81101700971344
"118",2,3,3,3,1,0.677085778568236
"119",4,4,3,4,3,2.07308010156175
"122",1,4,2,5,5,1.81101700971344
"123",4,4,5,2,4,2.35948204772237
"124",3,4,3,3,3,1.56649058581839
"125",4,3,3,2,2,1.11077610671079
"126",4,4,5,4,5,3.48236234517862
"127",3,3,3,2,2,0.892578134450525
"128",2,3,2,4,3,1.11077610671079
"129",2,2,2,3,2,0.461670780369362
"130",4,4,4,2,5,2.35948204772237
"131",3,3,3,4,4,1.81101700971344
"132",2,3,2,1,2,0.243423399716078
"134",5,5,2,5,5,3.48236234517862
"136",1,1,1,2,2,-0.466337695083066
"137",2,2,2,2,3,0.461670780369362
"138",4,4,4,5,5,3.48236234517862
"140",4,4,4,4,5,3.04735118284898
"141",4,3,4,5,5,3.04735118284898
"142",1,1,1,3,4,0.243423399716078
"143",4,4,4,4,4,2.67976123962362
"144",5,4,4,5,5,4
"146",3,4,2,5,5,2.35948204772237
"147",3,3,2,3,4,1.33437633290088
"148",5,4,5,5,5,4
"149",3,4,2,5,4,2.07308010156175
"150",3,4,2,1,1,0.461670780369362
"151",2,1,0,3,4,0.243423399716078
"152",2,3,3,3,4,1.33437633290088
"153",4,5,5,5,5,4
"154",3,2,1,2,3,0.461670780369362
"155",3,3,3,4,5,2.07308010156175
"156",3,1,3,1,5,0.892578134450525
"158",4,4,3,5,5,3.04735118284898
"159",3,4,4,3,4,2.07308010156175
"161",1,5,1,0,2,0.0189852880942777
"162",3,3,3,5,3,1.81101700971344
"163",4,3,4,4,3,2.07308010156175
"164",1,4,3,2,1,0.461670780369361
"165",5,5,5,5,5,4
"166",2,1,2,2,2,0.0189852880942778
"167",3,3,5,5,5,3.04735118284898
"168",5,5,5,5,5,4
"169",3,4,3,3,4,1.81101700971344
"171",1,0,0,0,0,-2.94325408121926
"172",3,4,4,3,4,2.07308010156175
"174",3,2,3,3,4,1.33437633290088
"175",4,4,4,4,4,2.67976123962362
"176",3,3,1,5,3,1.33437633290088
"177",4,3,4,5,5,3.04735118284898
"178",4,3,3,5,5,2.67976123962362
"180",2,4,2,2,3,0.892578134450525
"182",3,3,3,3,4,1.56649058581839
"183",2,4,4,5,2,1.81101700971344
"184",2,1,1,1,1,-0.739090494222558
"185",1,2,1,2,3,0.0189852880942779
"186",3,2,1,5,4,1.33437633290088
"187",4,5,5,5,5,4
"188",0,0,1,2,1,-1.38718385887497
"189",0,1,1,3,4,0.0189852880942778
"190",3,4,4,4,5,2.67976123962362
"191",3,4,3,4,4,2.07308010156175
"192",4,3,2,3,3,1.33437633290088
"193",5,5,5,5,5,4
"195",4,4,3,5,5,3.04735118284898
"197",3,2,4,5,4,2.07308010156175
"198",3,4,4,3,5,2.35948204772237
"199",3,3,3,2,3,1.11077610671079
"200",5,5,5,5,5,4
"201",4,4,4,4,4,2.67976123962362
"202",5,5,5,5,5,4
"203",4,2,2,4,4,1.56649058581839
"205",4,4,4,3,4,2.35948204772237
"206",2,3,1,4,4,1.11077610671079
"207",2,2,2,1,3,0.243423399716078
"209",4,4,5,4,4,3.04735118284898
"210",2,4,2,1,5,1.11077610671079
"211",4,3,3,4,4,2.07308010156175
"212",3,1,1,1,2,-0.215850931633363
"213",3,2,1,0,4,0.243423399716079
"214",0,0,0,0,0,-4
"215",2,3,3,3,3,1.11077610671079
"217",0,0,0,0,0,-4
"218",2,1,2,4,1,0.243423399716078
"219",3,3,2,3,3,1.11077610671079
"220",3,3,1,1,4,0.677085778568236
"221",1,1,2,3,1,-0.215850931633362
"222",3,3,0,1,1,-0.215850931633363
"223",4,3,3,2,5,1.81101700971344
"224",4,5,5,5,3,3.48236234517862
"225",4,4,3,5,2,2.07308010156175
"226",3,4,3,3,3,1.56649058581839
"227",5,5,5,5,5,4
"228",1,2,3,4,3,0.892578134450525
"229",4,4,4,4,4,2.67976123962362
"230",1,2,1,0,1,-1.04238965598459
"231",5,5,5,5,5,4
"232",2,3,2,3,2,0.677085778568236
"233",4,4,4,4,4,2.67976123962362
"234",4,3,3,3,2,1.33437633290088
"235",4,4,4,5,5,3.48236234517862
"236",3,4,4,4,5,2.67976123962362
"239",2,3,2,3,4,1.11077610671079
"240",2,3,3,2,3,0.892578134450525
"241",2,2,2,5,3,1.11077610671079
"242",4,4,3,1,4,1.56649058581839
"244",4,5,4,3,5,3.04735118284898
"245",3,3,3,3,3,1.33437633290088
"247",3,4,4,4,3,2.07308010156175
"248",3,3,5,2,5,2.07308010156175
"249",3,3,2,2,3,0.892578134450525
"250",0,0,0,0,0,-4
"251",2,3,2,2,5,1.11077610671079
"252",4,4,1,2,3,1.11077610671079
"253",5,4,4,4,5,3.48236234517862
"254",3,3,3,3,4,1.56649058581839
"256",3,4,4,4,5,2.67976123962362
"257",4,5,5,5,5,4
"258",3,1,2,0,3,0.0189852880942778
"259",4,5,5,5,5,4
"260",4,2,1,4,4,1.33437633290088
"261",2,3,5,5,5,2.67976123962363
"262",4,4,4,4,2,2.07308010156175
"263",2,3,2,2,4,0.892578134450525
"264",2,2,2,4,5,1.33437633290088
"265",2,3,1,1,3,0.243423399716078
"266",5,4,4,4,5,3.48236234517862
